BATCH,ANIMAL.ID,STRAIN,TREATMENT,ImbTime,MobileTime,TotalTime,PctImb
2,24,C57BL/6J,OVX,117.116764,241.741018,358.857782,32.6359828
2,26,CBA/J,OVX,4.204191,354.853791,359.057982,1.170894733
2,28,CBA/J,OVX,47.347204,311.610678,358.957882,13.19018369
2,30,DBA/2J,OVX,53.453298,305.404484,358.857782,14.89539887
2,31,DBA/2J,OVX,8.208185,350.849797,359.057982,2.28603329
2,34,FVB/NJ,OVX,3.803792,355.25419,359.057982,1.059380989
2,36,FVB/NJ,OVX,1.000998,358.056984,359.057982,0.2787845
2,38,LP/J,OVX,10.610578,348.447404,359.057982,2.955115478
2,40,LP/J,OVX,122.321957,236.335625,358.657582,34.10549871
2,42,NOD/ShiLtJ,OVX,106.005682,253.0523,359.057982,29.52327683
2,43,NOD/ShiLtJ,OVX,94.694407,264.063275,358.757682,26.39508831
3,46,C57BL/6J,OVX,198.898302,160.05958,358.957882,55.40992745
3,48,C57BL/6J,OVX,87.48722,271.470663,358.957883,24.37255849
3,49,PL/J,OVX,75.97575,282.781932,358.757682,21.17745593
3,55,SJL/J,OVX,22.322256,336.435426,358.757682,6.222098402
3,56,SJL/J,OVX,41.641514,317.216269,358.857783,11.60390438
3,58,SM/J,OVX,5.605592,353.35229,358.957882,1.56162945
3,60,SM/J,OVX,7.307284,351.750698,359.057982,2.03512646
4,84,129S1/SvlmJ,OVX,22.522459,336.335323,358.857782,6.27615176
4,86,129S1/SvlmJ,OVX,17.016966,341.740716,358.757682,4.743303587
4,72,NON/ShiLtJ,OVX,132.231835,226.325647,358.557482,36.87883858
4,73,NON/ShiLtJ,OVX,66.966763,291.790919,358.757682,18.66629381
4,76,NZW/LacJ,OVX,132.93253,225.825153,358.757683,37.05357022
4,78,NZW/LacJ,OVX,58.558384,300.299398,358.857782,16.31799196
5,88,A/J,OVX,193.593011,165.364871,358.957882,53.93195712
5,89,A/J,OVX,123.723352,235.13443,358.857782,34.47698732
5,91,AKR/J,OVX,222.421753,136.53613,358.957883,61.96318943
5,94,AKR/J,OVX,212.111481,146.546103,358.657584,59.14038639
5,102,MRL/MpJ,OVX,179.37884,179.579043,358.957883,49.9721133
5,103,MRL/MpJ,OVX,174.974443,183.983439,358.957882,48.74511796
6,122,C57BL/6J,OVX,101.401101,257.456681,358.857782,28.25662591
6,109,CBA/J,OVX,0.1001,358.957882,359.057982,0.027878506
6,112,CBA/J,OVX,0,359.057982,359.057982,0
6,115,DBA/2J,OVX,1.501497,357.556485,359.057982,0.41817675
6,116,DBA/2J,OVX,15.215167,343.842815,359.057982,4.237523677
6,118,LP/J,OVX,48.047903,310.70978,358.757683,13.39285687
6,119,LP/J,OVX,97.196908,261.360575,358.557483,27.10776169
6,124,NOD/ShiLtJ,OVX,1.601598,357.456384,359.057982,0.446055534
6,126,NOD/ShiLtJ,OVX,1.201198,357.856784,359.057982,0.334541511
7,136,NOR/LtJ,OVX,120.319959,238.037325,358.357284,33.57541883
7,141,PL/J,OVX,12.312278,346.645604,358.957882,3.430006309
7,143,SJL/J,OVX,108.908582,249.849101,358.757683,30.35714276
7,144,SJL/J,OVX,32.432333,326.32535,358.757683,9.040177963
7,149,SM/J,OVX,37.137027,322.021055,359.158082,10.34002264
7,150,SM/J,OVX,5.605591,353.552491,359.158082,1.560758697
8,161,129S1/SvlmJ,OVX,67.767561,291.090221,358.857782,18.88423894
8,163,129S1/SvlmJ,OVX,72.672458,286.085224,358.757682,20.25669739
8,153,A/J,OVX,38.238121,320.719761,358.957882,10.65253695
8,154,A/J,OVX,84.584328,273.973158,358.557486,23.59017209
8,155,C57BL/6J,OVX,92.992717,265.764966,358.757683,25.92075972
9,169,BALB/cByJ,OVX,173.773257,185.184625,358.957882,48.4104865
9,171,BALB/cByJ,OVX,123.022657,235.634925,358.657582,34.30086611
9,181,BTBR T+tf/J,OVX,15.014974,343.942908,358.957882,4.182934754
10,197,DBA/2J,OVX,66.86667,292.791911,359.658581,18.59170712
10,198,DBA/2J,OVX,33.933833,325.524549,359.458382,9.440267552
10,206,LP/J,OVX,152.051602,206.405781,358.457383,42.41832062
11,220,129S1/SvlmJ,OVX,87.086825,271.971157,359.057982,24.25425123
11,222,129S1/SvlmJ,OVX,88.087826,270.870056,358.957882,24.53987791
11,217,C57BL/6J,OVX,68.067864,290.890018,358.957882,18.9626325
11,223,SJL/J,OVX,67.166961,291.590722,358.757683,18.72209689
11,224,SJL/J,OVX,111.010681,247.747001,358.757682,30.94308124
12,241,BALB/cByJ,OVX,103.703394,254.954189,358.657583,28.91431798
12,242,BALB/cByJ,OVX,174.273753,184.584029,358.857782,48.56345933
12,259,C3H/HeJ,OVX,105.405087,253.252495,358.657582,29.3887798
12,260,C3H/HeJ,OVX,86.185928,272.571754,358.757682,24.02343764
12,240,C57BL/6J,OVX,122.221853,236.435729,358.657582,34.07758797
14,292,129S1/SvlmJ,OVX,85.885625,272.972157,358.857782,23.93305351
14,294,129S1/SvlmJ,OVX,106.105787,252.651895,358.757682,29.57589268
14,283,A/J,OVX,131.831439,226.726045,358.557484,36.76716981
14,284,A/J,OVX,168.067558,190.890324,358.957882,46.82096882
14,288,C57BL/6J,OVX,137.737322,221.22056,358.957882,38.37144381
15,314,AKR/J,OVX,225.825146,133.132737,358.957883,62.91132099
15,304,BALB/cByJ,OVX,144.444007,214.313675,358.757682,40.26227569
15,305,BALB/cByJ,OVX,156.956489,202.001393,358.957882,43.72560038
15,319,BTBR T+tf/J,OVX,12.312273,346.645609,358.957882,3.430004916
15,320,BTBR T+tf/J,OVX,92.59232,266.465662,359.057982,25.78756765
15,310,C3H/HeJ,OVX,13.113075,345.744707,358.857782,3.65411471
15,323,C57BL/6J,OVX,120.019664,238.637918,358.657582,33.4635792
16,330,DBA/2J,OVX,51.851699,307.006083,358.857782,14.44909421
16,332,DBA/2J,OVX,6.606588,352.351294,358.957882,1.840491136
16,326,MRL/MpJ,OVX,150.149696,208.908286,359.057982,41.81767389
16,328,MRL/MpJ,OVX,104.604302,254.45368,359.057982,29.13298332
16,340,NZW/LacJ,OVX,105.104792,253.95319,359.057982,29.27237306
16,342,NZW/LacJ,OVX,23.223153,335.734729,358.957882,6.469603863
16,338,PL/J,OVX,42.642518,316.415464,359.057982,11.87622059
17,354,C57BL/6J,OVX,53.553394,305.404489,358.957883,14.91913022
17,349,CBA/J,OVX,31.831732,326.925951,358.757683,8.872766636
17,350,CBA/J,OVX,29.429344,329.528538,358.957882,8.198550715
17,344,SJL/J,OVX,145.945508,212.712074,358.657582,40.69215746
17,346,SJL/J,OVX,208.407779,150.149705,358.557484,58.12395175
19,393,AKR/J,OVX,148.047609,210.810173,358.857782,41.25523158
19,394,AKR/J,OVX,205.304686,153.653197,358.957883,57.19464475
19,378,BTBR T+tf/J,OVX,21.421353,337.23623,358.657583,5.972647454
19,383,C3H/HeJ,OVX,146.746307,212.311675,359.057982,40.86980776
19,386,C3H/HeJ,OVX,61.361169,297.696813,359.057982,17.08948751
19,382,C57BL/6J,OVX,8.208181,350.749701,358.957882,2.286669666
19,389,MRL/MpJ,OVX,79.979737,278.878046,358.857783,22.28730734
19,390,MRL/MpJ,OVX,29.629543,329.12814,358.757683,8.258929189
21,410,BALB/cByJ,OVX,23.723653,334.833831,358.557484,6.616415515
21,411,BALB/cByJ,OVX,68.167962,290.489621,358.657583,19.00641872
21,407,C57BL/6J,OVX,148.848402,211.010378,359.85878,41.36300412
21,414,SJL/J,OVX,19.719664,340.339316,360.05898,5.476787164
21,415,SJL/J,OVX,17.117064,342.641617,359.758681,4.757929385
23,442,MRL/MpJ,OVX,74.474259,285.184322,359.658581,20.70693233
23,443,MRL/MpJ,OVX,68.868669,290.990112,359.858781,19.13769307
23,444,MRL/MpJ,OVX,10.510478,349.248203,359.758681,2.921535617
23,446,MRL/MpJ,OVX,56.55639,303.102192,359.658582,15.72502168
23,434,NOR/LtJ,OVX,38.838725,320.919956,359.758681,10.79577146
23,435,NOR/LtJ,OVX,46.84671,313.112171,359.958881,13.0144615
23,425,NZW/LacJ,OVX,3.203194,356.655587,359.858781,0.890125285
23,428,NZW/LacJ,OVX,39.139018,320.419464,359.558482,10.8852996
23,430,NZW/LacJ,OVX,0.4004,359.558481,359.958881,0.111234927
23,432,NZW/LacJ,OVX,54.654494,305.304387,359.958881,15.18353814
24,470,129S1/SvlmJ,OVX,55.155157,304.904903,360.06006,15.31832134
24,456,DBA/2J,OVX,30.130128,329.929932,360.06006,8.368083925
24,457,DBA/2J,OVX,112.912914,247.147146,360.06006,31.35946653
24,453,NON/ShiLtJ,OVX,42.342345,317.617614,359.959959,11.76307085
24,465,PL/J,OVX,123.923927,236.136133,360.06006,34.41757106
24,466,PL/J,OVX,58.958953,301.001007,359.95996,16.37930869
24,467,PL/J,OVX,110.510508,249.249252,359.75976,30.71786239
24,469,PL/J,OVX,55.055055,304.604605,359.65966,15.30754241
25,484,CBA/J,OVX,2.469138,357.490822,359.95996,0.685947959
25,485,CBA/J,OVX,2.135468,357.891225,360.026693,0.593141576
25,487,FVB/NJ,OVX,0.133467,359.893226,360.026693,0.037071418
25,488,FVB/NJ,OVX,0.066733,359.95996,360.026693,0.01853557
25,478,SWR/J,OVX,0.133467,359.893226,360.026693,0.037071418
25,480,SWR/J,OVX,0.867534,359.159159,360.026693,0.2409638
26,506,C3H/HeJ,OVX,60.527195,299.366031,359.893226,16.81809788
26,508,C3H/HeJ,OVX,14.41441,345.54555,359.95996,4.004448161
26,510,C3H/HeJ,OVX,26.493158,333.333335,359.826493,7.36275914
26,504,C57L/J,OVX,166.299634,193.593592,359.893226,46.20804783
26,515,C57L/J,OVX,24.424417,335.402075,359.826492,6.787831786
26,499,NZW/LacJ,OVX,16.816819,343.143141,359.95996,4.671858226
26,501,NZW/LacJ,OVX,253.787118,105.705709,359.492827,70.59587812
27,519,KK/HIJ,OVX,25.291956,334.668004,359.95996,7.026324817
27,521,KK/HIJ,OVX,23.156492,336.803468,359.95996,6.43307439
27,523,MA/MyJ,OVX,3.47014,356.556553,360.026693,0.963856311
27,525,MA/MyJ,OVX,52.185517,307.640976,359.826493,14.50296685
28,559,A/J,OVX,37.303971,322.655988,359.959959,10.36336683
28,529,AKR/J,OVX,151.217888,208.408403,359.626291,42.04861874
28,530,AKR/J,OVX,137.470803,222.355689,359.826492,38.20474758
28,531,AKR/J,OVX,28.228228,331.664998,359.893226,7.843500783
28,533,MOLF/EiJ,OVX,288.154831,71.805128,359.959959,80.05191239
29,545,NZO/HILtJ,OVX,35.368703,324.157489,359.526192,9.837587299
29,546,NZO/HILtJ,OVX,10.343673,349.516186,359.859859,2.874361433
29,541,ZALENDE/EiJ,OVX,32.032029,327.660997,359.693026,8.9053795
30,567,LP/J,OVX,54.88822,304.971639,359.859859,15.25266534
31,602,LG/J,OVX,30.363697,329.32933,359.693027,8.441558418
31,604,LG/J,OVX,5.505504,354.521189,360.026693,1.529193281
31,598,PERA/EiJ,OVX,168.502,191.525,360.027,46.80260092
31,600,PERA/EiJ,OVX,125.125,234.735,359.86,34.77046629
31,594,PWD/PhJ,OVX,0.667336,359.359,360.026336,0.185357551
31,595,PWD/PhJ,OVX,1.83517,358.192,360.02717,0.509730974
32,609,I/LnJ,OVX,78.578578,281.448115,360.026693,21.82576446
32,612,I/LnJ,OVX,131.798468,228.061391,359.859859,36.62494293
32,605,NZO/HILtJ,OVX,33.700356,326.159503,359.859859,9.364855556
32,608,NZO/HILtJ,OVX,120.620629,239.072398,359.693027,33.53432509
33,624,NOD/ShiLtJ,OVX,5.505507,354.521186,360.026693,1.529194115
34,632,BTBR T+tf/J,OVX,7.007005,353.019688,360.026693,1.946245969
34,627,C3H/HeJ,OVX,24.024026,336.002667,360.026693,6.672845783
34,645,C57BL/6J,OVX,48.214881,311.644978,359.859859,13.39823817
34,646,C57BL/6J,OVX,80.580578,279.279282,359.85986,22.39221068
34,637,C57BR/cdJ,OVX,17.350681,342.342346,359.693027,4.823746833
34,640,C57BR/cdJ,OVX,44.377719,315.482141,359.85986,12.33194472
34,651,DBA/2J,OVX,8.008011,352.018682,360.026693,2.224282576
34,652,DBA/2J,OVX,76.076072,283.950621,360.026693,21.13067544
34,648,NZO/HILtJ,OVX,56.890231,303.136462,360.026693,15.80167029
34,635,SM/J,OVX,0.834168,359.192525,360.026693,0.231696154
34,636,SM/J,OVX,0,360.026693,360.026693,0
34,630,WSB/EiJ,OVX,3.003004,357.023689,360.026693,0.834105931
34,631,WSB/EiJ,OVX,2.335668,357.691025,360.026693,0.648748564
35,653,MA/MyJ,OVX,0.834166,359.192527,360.026693,0.231695598
35,656,MA/MyJ,OVX,8.17484,351.851853,360.026693,2.270620529
35,663,PERA/EiJ,OVX,165.165165,194.527861,359.693026,45.91836735
35,664,PERA/EiJ,OVX,112.445784,247.414076,359.85986,31.2471038
35,659,RIIIS/J,OVX,0.500501,359.526192,360.026693,0.139017748
35,660,RIIIS/J,OVX,0.667333,359.35936,360.026693,0.185356534
35,661,RIIIS/J,OVX,0,360.026693,360.026693,0
36,671,KK/HIJ,OVX,11.678342,348.348351,360.026693,3.243743374
36,672,KK/HIJ,OVX,7.340676,352.686017,360.026693,2.038925486
36,673,KK/HIJ,OVX,10.510508,349.516185,360.026693,2.919369092
36,676,MA/MyJ,OVX,0.333666,359.693027,360.026693,0.092678128
36,683,PERA/EiJ,OVX,65.398736,294.627957,360.026693,18.16496867
36,684,PERA/EiJ,OVX,98.598597,261.428096,360.026693,27.38646854
36,678,RIIIS/J,OVX,1.167834,358.858859,360.026693,0.324374282
36,681,RIIIS/J,OVX,1.334667,358.692026,360.026693,0.370713346
37,688,MA/MyJ,OVX,1.501505,358.525188,360.026693,0.417053799
37,689,MA/MyJ,OVX,0.667335,359.359358,360.026693,0.18535709
37,691,ZALENDE/EiJ,OVX,2.83617,356.856856,359.693026,0.788497356
37,693,ZALENDE/EiJ,OVX,26.693356,333.333337,360.026693,7.414271363
38,695,P/J,OVX,30.697364,329.162495,359.859859,8.530366261
38,697,P/J,OVX,108.441772,251.251254,359.693026,30.14842217
38,698,P/J,OVX,52.552549,307.474144,360.026693,14.59684796
38,701,P/J,OVX,9.676343,350.183516,359.859859,2.6889198
38,703,WSB/EiJ,OVX,130.130132,229.729728,359.85986,36.16133569
38,705,WSB/EiJ,OVX,16.683352,343.176508,359.85986,4.636069163
39,714,BALB/cByJ,OVX,14.514512,345.345348,359.85986,4.033378994
39,715,BALB/cByJ,OVX,25.692352,334.334341,360.026693,7.136235312
39,716,BALB/cByJ,OVX,47.88121,311.97865,359.85986,13.30551565
39,712,C57BL/6J,OVX,36.536537,323.490156,360.026693,10.14828559
39,720,LG/J,OVX,45.378704,314.647989,360.026693,12.60426098
39,722,LG/J,OVX,30.030032,329.996661,360.026693,8.341057089
39,725,SEA/GnJ,OVX,179.512837,180.347022,359.859859,49.88409585
39,726,SEA/GnJ,OVX,63.229896,296.796797,360.026693,17.56255779
39,706,SWR/J,OVX,1.334668,358.692025,360.026693,0.370713624
39,709,SWR/J,OVX,1.000999,359.025694,360.026693,0.278034662
39,710,SWR/J,OVX,1.501502,358.525191,360.026693,0.417052966
39,727,WSB/EiJ,OVX,29.029032,330.997661,360.026693,8.063022149
39,729,WSB/EiJ,OVX,57.891221,302.135472,360.026693,16.07970246
40,735,C57BR/cdJ,OVX,45.211883,314.81481,360.026693,12.55792525
40,737,C57BR/cdJ,OVX,50.884212,308.808813,359.693025,14.14656623
40,740,P/J,OVX,17.01702,343.009673,360.026693,4.726599536
40,741,P/J,OVX,5.505508,354.354352,359.85986,1.529903335
41,749,C57BR/cdJ,OVX,17.017016,343.009677,360.026693,4.726598425
41,750,C57BR/cdJ,OVX,19.185857,340.674003,359.85986,5.331480149
41,760,CZECHII/EiJ,OVX,25.85921,334.167483,360.026693,7.18258132
41,762,CZECHII/EiJ,OVX,65.065071,294.627956,359.693027,18.08905542
41,756,LG/J,OVX,35.869204,323.990655,359.859859,9.96754795
41,758,LG/J,OVX,44.544544,315.482149,360.026693,12.37256705
41,764,PWD/PhJ,OVX,0.834168,359.192525,360.026693,0.231696154
41,765,PWD/PhJ,OVX,2.168834,357.857859,360.026693,0.602409222
42,785,CZECHII/EiJ,OVX,28.862185,331.164508,360.026693,8.016679197
42,777,I/LnJ,OVX,176.676681,183.350012,360.026693,49.07321719
42,778,I/LnJ,OVX,70.737405,289.289288,360.026693,19.64782234
42,771,MOLF/EiJ,OVX,53.720386,305.805808,359.526194,14.94199502
42,774,MOLF/EiJ,OVX,6.67334,353.353353,360.026693,1.853568119
42,796,MOLF/EiJ,OVX,2.002003,358.02469,360.026693,0.556070713
42,797,MOLF/EiJ,OVX,0.333667,359.693026,360.026693,0.092678406
42,781,PERA/EiJ,OVX,153.653651,205.872542,359.526193,42.73781827
42,782,PERA/EiJ,OVX,63.897232,296.129461,360.026693,17.74791515
42,768,SEA/GnJ,OVX,176.176167,183.683693,359.85986,48.95688199
42,787,ZALENDE/EiJ,OVX,16.516516,343.510177,360.026693,4.587580955
42,788,ZALENDE/EiJ,OVX,18.852188,341.174505,360.026693,5.23633063
43,817,BALB/cByJ,OVX,7.340674,352.519185,359.859859,2.039870193
43,820,BALB/cByJ,OVX,13.680345,346.346348,360.026693,3.799814088
43,815,C57BL/6J,OVX,90.924258,269.102435,360.026693,25.25486576
43,809,CBA/J,OVX,254.25426,105.271931,359.526191,70.7192595
43,810,CBA/J,OVX,53.88722,305.805805,359.693025,14.98144703
43,811,CBA/J,OVX,352.28458,7.741034,360.025614,97.84986576
43,812,CBA/J,OVX,324.12319,35.902424,360.025614,90.02781397
43,805,I/LnJ,OVX,89.08908,270.603945,359.693025,24.76808662
43,808,I/LnJ,OVX,176.676681,183.350012,360.026693,49.07321719
43,822,NON/ShiLtJ,OVX,53.053061,306.639965,359.693026,14.7495384
43,823,NON/ShiLtJ,OVX,83.416746,276.609947,360.026693,23.16960037
43,825,NON/ShiLtJ,OVX,80.246915,279.612944,359.859859,22.29949048
43,803,NOR/LtJ,OVX,295.7958,64.230893,360.026693,82.15940811
43,804,NOR/LtJ,OVX,353.186519,6.67334,359.859859,98.14557255
43,826,SEA/GnJ,OVX,53.053061,306.639965,359.693026,14.7495384
43,827,SEA/GnJ,OVX,83.416746,276.609947,360.026693,23.16960037
44,834,NZO/HILtJ,OVX,254.25426,105.271931,359.526191,70.7192595
44,836,NZO/HILtJ,OVX,53.88722,305.805805,359.693025,14.98144703
44,832,ZALENDE/EiJ,OVX,353.186519,6.67334,359.859859,98.14557255
45,847,I/LnJ,OVX,51.885218,308.141475,360.026693,14.41149198
45,850,I/LnJ,OVX,4.83817,355.188523,360.026693,1.343836469
45,851,I/LnJ,OVX,5.005005,355.021688,360.026693,1.390176089
45,854,I/LnJ,OVX,12.012014,348.014679,360.026693,3.336423169
45,855,I/LnJ,OVX,8.008009,352.018684,360.026693,2.22428202
10.2,209,FVB/NJ,OVX,17.617568,341.340315,358.957883,4.907976349
10.2,211,FVB/NJ,OVX,4.804788,354.253194,359.057982,1.338164932
11.2,227,PL/J,OVX,111.010681,247.747001,358.757682,30.94308124
11.2,228,PL/J,OVX,67.166961,291.590722,358.757683,18.72209689
11.2,232,SM/J,OVX,3.103092,355.95489,359.057982,0.864231449
11.3,235,SWR/J,OVX,106.30599,252.751992,359.057982,29.60691457
11.3,236,SWR/J,OVX,8.908883,350.149099,359.057982,2.481182273
13.2,271,NOD/ShiLtJ,OVX,224.023353,134.534131,358.557484,62.47906207
13.2,275,NOR/LtJ,OVX,202.301695,156.756287,359.057982,56.34234724
13.3,281,FVB/NJ,OVX,12.512474,346.14511,358.657584,3.488696338
13.3,282,FVB/NJ,OVX,0,309.708785,309.708785,0
14.2,301,CBA/J,OVX,22.422357,336.635625,359.057982,6.244773302
14.2,302,CBA/J,OVX,24.124054,334.833828,358.957882,6.720580661
15.2,317,C57L/J,OVX,73.673452,285.084232,358.757684,20.53571402
15.2,318,C57L/J,OVX,32.132035,326.725748,358.857783,8.953974672
20.2,403,CZECHII/EiJ,OVX,3.503496,356.555484,360.05898,0.973033918
20.2,404,CZECHII/EiJ,OVX,12.812777,347.046004,359.858781,3.560501418
24.2,448,NON/ShiLtJ,OVX,42.642642,317.217218,359.85986,11.84979119
24.2,449,NON/ShiLtJ,OVX,98.098093,261.661667,359.75976,27.2676669
25.2,490,SM/J,OVX,313.113113,46.780113,359.893226,87.00166893
25.2,496,SM/J,OVX,7.941274,352.085419,360.026693,2.205745895
28.2,549,A/J,OVX,50.383708,309.309318,359.693026,14.00741865
28.2,538,RIIIS/J,OVX,0.333667,359.693026,360.026693,0.092678406
28.2,539,RIIIS/J,OVX,0,360.026693,360.026693,0
29.2,552,PWD/PhJ,OVX,0.5005,359.526193,360.026693,0.13901747
29.2,554,PWD/PhJ,OVX,1.835168,358.191525,360.026693,0.509731094
30.2,587,SEA/GnJ,OVX,153.153158,206.539868,359.693026,42.57885111
30.2,588,SEA/GnJ,OVX,238.905578,121.121115,360.026693,66.35774031
30.3,589,LG/J,OVX,68.568568,291.458125,360.026693,19.04541228
30.3,591,LG/J,OVX,88.254925,271.604935,359.85986,24.52480391
35.2,666,I/LnJ,OVX,97.430762,262.595931,360.026693,27.06209398
35.2,668,I/LnJ,OVX,137.637636,222.389057,360.026693,38.22984203
39.2,732,LG/J,OVX,7.340674,352.519185,359.859859,2.039870193
39.2,733,LG/J,OVX,15.348679,344.678014,360.026693,4.26320584
3.2,62,NOR/LtJ,OVX,1.801796,357.055986,358.857782,0.50209194
3.2,64,NOR/LtJ,OVX,1.000997,358.056985,359.057982,0.278784222
42.2,866,MOLF/EiJ,OVX,1.001003,359.02569,360.026693,0.278035773
42.2,869,MOLF/EiJ,OVX,1.001002,359.025691,360.026693,0.278035496
42.2,791,P/J,OVX,2.335668,357.691025,360.026693,0.648748564
42.2,793,P/J,OVX,87.42076,271.938598,359.359358,24.32683553
44.2,842,KK/HIJ,OVX,2.335672,357.691021,360.026693,0.648749675
44.2,843,KK/HIJ,OVX,2.001999,358.024694,360.026693,0.556069602
4.2,67,C57L/J,OVX,93.693414,265.364568,359.057982,26.09422954
4.2,70,C57L/J,OVX,38.438323,320.519559,358.957882,10.70831006
8.2,167,AKR/J,OVX,58.558381,300.099204,358.657585,16.32709956
8.2,168,AKR/J,OVX,45.044907,313.712776,358.757683,12.55580274
9.2,192,NON/ShiLtJ,OVX,144.444011,214.513871,358.957882,40.23982151
9.2,194,NON/ShiLtJ,OVX,208.70808,150.149703,358.857783,58.15899498
2,25,CBA/J,SHAM,42.242118,316.615664,358.857782,11.77126988
2,27,CBA/J,SHAM,0.600599,358.357284,358.957883,0.167317401
2,29,DBA/2J,SHAM,160.459979,198.297704,358.757683,44.72656241
2,32,DBA/2J,SHAM,90.490217,268.367566,358.857783,25.21617791
2,33,FVB/NJ,SHAM,3.103094,355.854788,358.957882,0.864473008
